t,original,good_recon,bad_recon
0.556,-0.640014,-0.62599,-0.793096
0.557,-0.59066,-0.579823,-0.758225
0.558,-0.546419,-0.53904,-0.723274
0.559,-0.50788,-0.504143,-0.688358
0.56,-0.475528,-0.475528,-0.653587
0.561,-0.449737,-0.453478,-0.61907
0.562,-0.430763,-0.438157,-0.58491
0.563,-0.418741,-0.429609,-0.551206
0.564,-0.413683,-0.427761,-0.518054
0.565,-0.415478,-0.432422,-0.485544
0.566,-0.423893,-0.443288,-0.45376
0.567,-0.438578,-0.45995,-0.42278
0.568,-0.459071,-0.481896,-0.39268
0.569,-0.484807,-0.508524,-0.363525
0.57,-0.515124,-0.53915,-0.335378
0.571,-0.549278,-0.573021,-0.308293
0.572,-0.586451,-0.609326,-0.282318
0.573,-0.625766,-0.647209,-0.257496
0.574,-0.666302,-0.685783,-0.233861
0.575,-0.707107,-0.724144,-0.211442
0.576,-0.747214,-0.761384,-0.19026
0.577,-0.785657,-0.796609,-0.170331
0.578,-0.821486,-0.828945,-0.151662
0.579,-0.853784,-0.857562,-0.134255
0.58,-0.881678,-0.881678,-0.118104
0.581,-0.904357,-0.900574,-0.103199
0.582,-0.921083,-0.913605,-0.0895204
0.583,-0.931205,-0.920212,-0.0770445
0.584,-0.934167,-0.919924,-0.0657408
0.585,-0.929519,-0.912373,-0.0555732
0.586,-0.916923,-0.897293,-0.0464999
0.587,-0.896161,-0.874527,-0.0384736
0.588,-0.867138,-0.844029,-0.031442
0.589,-0.829882,-0.805866,-0.025348
0.59,-0.784545,-0.760213,-0.02013
0.591,-0.731405,-0.707354,-0.015722
0.592,-0.670854,-0.647679,-0.0120543
0.593,-0.6034,-0.581672,-0.00905359
0.594,-0.529655,-0.509912,-0.00664346
0.595,-0.450327,-0.433058,-0.00474465
0.596,-0.36621,-0.351844,-0.00327549
0.597,-0.278171,-0.267066,-0.00215231
0.598,-0.187135,-0.179571,-0.00128982
0.599,-0.0940774,-0.0902449,-0.000601487
0.6,4.04282e-14,3.89511e-14,-1.62173e-15
0.601,0.0940774,0.0902387,0.000602367
0.602,0.187135,0.179547,0.00129332
0.603,0.278171,0.267012,0.00216014
0.604,0.36621,0.351751,0.00328926
0.605,0.450327,0.432918,0.00476587
0.606,0.529655,0.50972,0.00667353
0.607,0.6034,0.581426,0.00909372
0.608,0.670854,0.647378,0.0121055
0.609,0.731405,0.707003,0.0157851
0.61,0.784545,0.759818,0.0202057
0.611,0.829882,0.805437,0.0254366
0.612,0.867138,0.843578,0.0315436
0.613,0.896161,0.874069,0.038588
0.614,0.916923,0.896845,0.0466268
0.615,0.929519,0.911954,0.055712
0.616,0.934167,0.919553,0.0658904
0.617,0.931205,0.919907,0.0772037
0.618,0.921083,0.913385,0.0896878
0.619,0.904357,0.900456,0.103373
0.62,0.881678,0.881678,0.118283
0.621,0.853784,0.857692,0.134436
0.622,0.821486,0.829215,0.151843
0.623,0.785657,0.797022,0.170509
0.624,0.747214,0.761944,0.190434
0.625,0.707107,0.724845,0.211608
0.626,0.666302,0.686618,0.234017
0.627,0.625766,0.648164,0.257639
0.628,0.586451,0.610384,0.282445
0.629,0.549278,0.574159,0.308401
0.63,0.515124,0.540342,0.335465
0.631,0.484807,0.509741,0.363589
0.632,0.459071,0.483107,0.392718
0.633,0.438578,0.461121,0.42279
0.634,0.423893,0.444384,0.453739
0.635,0.415478,0.433408,0.485492
0.636,0.413683,0.428605,0.51797
0.637,0.418741,0.430279,0.551088
0.638,0.430763,0.438626,0.584757
0.639,0.449737,0.453722,0.618882
0.64,0.475528,0.475528,0.653365
0.641,0.50788,0.503886,0.688101
0.642,0.546419,0.53852,0.722984
0.643,0.59066,0.579041,0.757903
0.644,0.640014,0.624952,0.792744
0.645,0.693796,0.675655,0.827389
0.646,0.751238,0.730457,0.86172
0.647,0.8115,0.788585,0.895616
0.648,0.873682,0.849192,0.928954
0.649,0.93684,0.911375,0.961611
0.65,1,0.974185,0.993463
0.651,1.06217,1.03664,1.02439
0.652,1.12237,1.09776,1.05426
0.653,1.17962,1.15653,1.08295
0.654,1.23299,1.212,1.11035
0.655,1.28158,1.26321,1.13634
0.656,1.32456,1.30927,1.16079
0.657,1.36117,1.34935,1.1836
0.658,1.39075,1.38269,1.20465
0.659,1.41271,1.40862,1.22384
0.66,1.42658,1.42658,1.24106
0.661,1.43202,1.43612,1.25622
0.662,1.42879,1.4369,1.26923
0.663,1.41677,1.42869,1.27999
0.664,1.39597,1.41143,1.28843
0.665,1.36653,1.38516,1.29447
0.666,1.32872,1.35006,1.29805
0.667,1.28291,1.30644,1.29911
0.668,1.22958,1.25474,1.29758
0.669,1.16935,1.19552,1.29343
0.67,1.10291,1.12944,1.28662
0.671,1.03103,1.05728,1.27711
0.672,0.954576,0.979884,1.2649
0.673,0.874456,0.898202,1.24995
0.674,0.791635,0.813229,1.23228
